event_id_number,event_name,event_judging_type,total_evaluations,evals_with_marks,judges_with_evals
959,"Dramatic Narrative (Male) OPEN",general,2,2,2
960,"Poetry Recitation (Male) OPEN",general,54,54,3
961,"Illustrated Storytelling (Male) OPEN",general,2,2,2
964,"Famous Speech (Male) OPEN",general,2,2,2
965,"Preaching (Male) OPEN",general,10,10,2
970,"Oratory (Female) OPEN",general,2,2,2
971,"Dramatic Monologue (Female) OPEN",general,2,2,2
972,"Expressive Reading (Female) OPEN",general,28,28,2
974,"Poetry Recitation (Female) OPEN",general,46,46,3
975,"Illustrated Storytelling (Female) OPEN",general,2,2,2
977,"Clown Act (Female) OPEN",general,4,4,2
978,"Famous Speech (Female) OPEN",general,4,4,2
979,"Preaching (Female) OPEN",general,2,2,2
1056,"Bible Memory OPEN",spellings,1,1,1
1057,"Bible Bowl OPEN",general,12,12,1
1058,"Group Bible Speaking OPEN",general,6,6,2
