Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Event Type,EventGrpName,EventGender,GroupEvent,MinNo,MaxNo,TeamEvent,SetupTime,RoundTime,JudgingTime,EventKindId,HasToBeConsecutive,CompetitorsPerRound,NeedsSchedule
070,Physical Education - Athletics,100m (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
071,Physical Education - Athletics,200m (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
072,Physical Education - Athletics,400m (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
073,Physical Education - Athletics,4 x 100m Relay (Male) U11,Nil,No,No,No,No,0,5,M,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
074,Physical Education - Sports,Football Kick (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
075,Physical Education - Sports,Soccer Kick (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
076,Physical Education - Sports,Netball Shoot (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
100,Physical Education,100m (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
101,Physical Education,200m (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
102,Physical Education,400m (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
103,Physical Education,800m (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,2,0,Group/Heats,TRUE,8,0
104,Physical Education,1500m (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,9,0,Group/Heats,TRUE,20,0
105,Physical Education,4 x 100m Relay (Male) U14,Nil,No,No,No,No,0,1,M,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
106,Physical Education,Long Jump (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,3,0,Sequential,FALSE,0,0
